DISTRICT,YEAR,MONTH,SEASON,RAINFALL(in mm),TEMPERATURE(in Celsius),CROPS,SUCCESSFUL CROPS,MARKET RATE(per kg)(in Rupees)
Ariyalur,2013,February,Rabi,7.3,23.7,Maize,Chilli,100
Ariyalur,2013,March,Rabi,6.5,24.78,Cotton(lint),Banana,60
Ariyalur,2013,April,Kharif,12,24.3,Groundnut,Banana,50
Ariyalur,2013,May,Kharif,12,22.5,Sugarcane,Sugarcane,30
Ariyalur,2013,June,Kharif,3.7,27.6,Cashewnut,Sugarcane,35
Ariyalur,2013,July,Kharif,7.7,27.12,Chilli,Onion,60
Ariyalur,2013,August,Kharif,169,28.12,Banana,Onion,70
Ariyalur,2013,September,Kharif,165,27.27,Tapico ,Tomato,80
Ariyalur,2013,October,Kharif,74,26.3,Tomato ,Black gram,100
Ariyalur,2013,November,Rabi,159,26.7,Onion,Black gram,80
Ariyalur,2013,December,Rabi,53,27.5,Blackgram ,Black gram,90
Ariyalur,2014,January,Rabi,0,25.4,Paddy,Banana,40
Ariyalur,2014,February,Rabi,1,23.8,Maize,Cabbage,40
Ariyalur,2014,March,Rabi,0,26.5,Cotton(lint),Cabbage,30
Ariyalur,2014,April,Kharif,0,29.8,Groundnut,Groundnut,150
Ariyalur,2014,May,Kharif,129,25.4,Sugarcane,Sugarcane,30
Ariyalur,2014,June,Kharif,9,23.1,Cabbage,Tomato,65
Ariyalur,2014,July,Kharif,80.5,21.1,Brinjal,Tomato,70
Ariyalur,2014,August,Kharif,93,20.1,Banana,Tomato,75
Ariyalur,2014,September,Kharif,26,20.9,Tapico ,Tomato,75
Ariyalur,2014,October,Kharif,183,28.4,Tomato ,Brinjal,40
Ariyalur,2014,November,Rabi,90,28.27,Onion,Brinjal,30
Ariyalur,2014,December,Rabi,88,23.2,Blackgram ,Brinjal,35
Ariyalur,2015,January,Rabi,23.1,24.3,Paddy,Banana,50
Ariyalur,2015,February,Rabi,12.4,25.3,Maize,Chilli,100
Ariyalur,2015,March,Rabi,125,27.6,Cotton(lint),Chilli,80
Ariyalur,2015,April,Kharif,45,24.5,Groundnut,Banana,50
Ariyalur,2015,May,Kharif,3.5,26.5,Sugarcane,Chilli,90
Ariyalur,2015,June,Kharif,321.5,27.9,Cashewnut,Black gram,90
Ariyalur,2015,July,Kharif,65.3,28.9,Mango,Black gram,100
Ariyalur,2015,August,Kharif,76.5,23.6,Banana,Black gram,80
Ariyalur,2015,September,Kharif,98.6,24.3,Chilli,Groundnut,130
Ariyalur,2015,October,Kharif,56.3,27.6,Tomato ,Groundnut,140
Ariyalur,2015,November,Rabi,45.3,28.6,Onion,Groundnut,150
Ariyalur,2015,December,Rabi,23.7,24.5,Blackgram ,Groundnut,120
Ariyalur,2016,January,Rabi,0,28.5,Paddy,Paddy,80
Ariyalur,2016,February,Rabi,0,20.4,Maize,Paddy,70
Ariyalur,2016,March,Rabi,0,23.5,Cotton(lint),Maize,30
Ariyalur,2016,April,Kharif,0,25.7,Groundnut,Maize,25
Ariyalur,2016,May,Kharif,89,24.2,Sugarcane,Maize,30
Ariyalur,2016,June,Kharif,28,24.5,Cashewnut,Banana,50
Ariyalur,2016,July,Kharif,91.2,26.5,Mango,Banana,60
Ariyalur,2016,August,Kharif,142,27.6,Banana,Brinjal,40
Ariyalur,2016,September,Kharif,38,23.4,Brinjal,Brinjal,35
Ariyalur,2016,October,Kharif,62,22.3,Tomato ,Brinjal,30
Ariyalur,2016,November,Rabi,30,24.5,Onion,Black gram,90
Ariyalur,2016,December,Rabi,36,25.4,Blackgram ,Black gram,95
Ariyalur,2017,January,Rabi,23.8,27.8,Paddy,Banana,55
Ariyalur,2017,February,Rabi,34.1,26.2,Maize,Sugarcane,40
Ariyalur,2017,March,Rabi,14.2,27.66,Cotton(lint),Sugarcane,40
Ariyalur,2017,April,Kharif,5.4,28.08,Groundnut,Sugarcane,30
Ariyalur,2017,May,Kharif,3.5,23.1,Sugarcane,Sugarcane,20
Ariyalur,2017,June,Kharif,89.7,25.5,Cashewnut,Tomato,65
Ariyalur,2017,July,Kharif,87.5,26.5,Mango,Tomato,60
Ariyalur,2017,August,Kharif,234.1,27.8,Banana,Sugarcane,40
Ariyalur,2017,September,Kharif,123.4,24.3,Tapico ,Sugarcane,30
Ariyalur,2017,October,Kharif,543.6,22.7,Tomato ,Sugarcane,35
Ariyalur,2017,November,Rabi,98.3,28.9,Onion,Groundnut,150
Ariyalur,2017,December,Rabi,23.6,24.3,Blackgram ,Groundnut,140
Ariyalur,2018,January,Rabi,25.8,26.5,Paddy,Banana,60
Ariyalur,2018,February,Rabi,0,22.3,Maize,Black gram,100
Ariyalur,2018,March,Rabi,4.5,21.5,Cotton(lint),Black gram,90
Ariyalur,2018,April,Kharif,1.2,22.8,Groundnut,Black gram,100
Ariyalur,2018,May,Kharif,46.5,29.7,Sugarcane,Black gram,90
Ariyalur,2018,June,Kharif,96.5,23.6,Cashewnut,Maize,25
Ariyalur,2018,July,Kharif,25,28.3,Mango,Maize,25
Ariyalur,2018,August,Kharif,74.3,28.4,Banana,Maize,30
Ariyalur,2018,September,Kharif,22.6,29.4,Greengram,Paddy,80
Ariyalur,2018,October,Kharif,200.2,23.4,Tomato ,Paddy,85
Ariyalur,2018,November,Rabi,297.9,22.1,Onion,Green gram,90
Ariyalur,2018,December,Rabi,20.2,20.3,Blackgram ,Green gram,100
Ariyalur,2019,January,Rabi,0,24.3,Paddy,Paddy,80
Ariyalur,2019,February,Rabi,0,24.4,Maize,Paddy,85
Ariyalur,2019,March,Rabi,0,25.6,Cotton(lint),Chilli,50
Ariyalur,2019,April,Kharif,0,27.6,Groundnut,Chilli,50
Ariyalur,2019,May,Kharif,0.1,25.4,Sugarcane,Chilli,80
Ariyalur,2019,June,Kharif,5.2,27.8,Brinjal,Tomato,65
Ariyalur,2019,July,Kharif,109.1,23.5,Mango,Tomato,70
Ariyalur,2019,August,Kharif,156.6,22.1,Banana,Tomato,75
Ariyalur,2019,September,Kharif,317,26.4,Chilli,Tomato,80
Ariyalur,2019,October,Kharif,170.1,24.3,Tomato ,Brinjal,35
Ariyalur,2019,November,Rabi,181.9,29.1,Onion,Brinjal,35
Ariyalur,2019,December,Rabi,171.5,29.3,Blackgram ,Brinjal,40
Ariyalur,2020,January,Rabi,24.2,28.5,Paddy,Banana,45
Ariyalur,2020,February,Rabi,0,29.6,Maize,Black gram,90
Ariyalur,2020,March,Rabi,0,22.9,Cotton(lint),Black gram,85
Ariyalur,2020,April,Kharif,13.6,25.4,Groundnut,Black gram,90
Ariyalur,2020,May,Kharif,17.5,25.7,Sugarcane,Black gram,100
Ariyalur,2020,June,Kharif,72.9,21.3,Cashewnut,Onion,70
Ariyalur,2020,July,Kharif,206.7,25,Mango,Onion,70
Ariyalur,2020,August,Kharif,91.9,22,Banana,Onion,75
Ariyalur,2020,September,Kharif,100.8,24.3,Chilli,Onion,75
Ariyalur,2020,October,Kharif,77.5,26.7,Tomato ,Onion,70
Ariyalur,2020,November,Rabi,149,25.4,Onion,Green gram,90
Ariyalur,2020,December,Rabi,309.9,23.7,Blackgram ,Green gram,80
Ariyalur,2021,January,Rabi,216.1,28.7,Paddy,Banana,45
Ariyalur,2021,February,Rabi,4.6,24.3,Maize,Maize,25
Ariyalur,2021,March,Rabi,0,26.5,Cotton(lint),Maize,30
Ariyalur,2021,April,Kharif,16,27.9,Groundnut,Sugarcane,30
Ariyalur,2021,May,Kharif,43.2,24.3,Sugarcane,Sugarcane,35
Ariyalur,2021,June,Kharif,117.9,26.5,Cashewnut,Onion,55
Ariyalur,2021,July,Kharif,84.1,29.7,Mango,Onion,60
Ariyalur,2021,August,Kharif,81.4,28.6,Banana,Groundnut,140
Ariyalur,2021,September,Kharif,149.9,24.3,Tapico ,Groundnut,150
Ariyalur,2021,October,Kharif,305.3,28,Tomato ,Groundnut,150
Ariyalur,2021,November,Rabi,555.1,23.6,Onion,Groundnut,150
Ariyalur,2021,December,Rabi,72.7,28.7,Blackgram ,Groundnut,130
Ariyalur,2022,January,Rabi,77.7,28.4,Paddy,Paddy,85
Ariyalur,2022,February,Rabi,13.5,25.4,Maize,Sugarcane,40
Ariyalur,2022,March,Rabi,8.4,23.3,Cotton(lint),Sugarcane,40
Ariyalur,2022,April,Kharif,49.1,24.4,Groundnut,Sugarcane,40
Ariyalur,2022,May,Kharif,90.1,21.5,Sugarcane,Sugarcane,35
Ariyalur,2022,June,Kharif,86.1,26.7,Cashewnut,Tomato,45
Ariyalur,2022,July,Kharif,106.2,24.5,Mango,Tomato,45
Ariyalur,2022,August,Kharif,148.1,28,Banana,Tomato,55
Ariyalur,2022,September,Kharif,82.2,28.6,Tapico ,Tomato,60
Ariyalur,2022,October,Kharif,133.2,29.4,Tomato ,Cashewnut,250
Ariyalur,2022,November,Rabi,102.5,28.4,Onion,Turmeric,150
Ariyalur,2022,December,Rabi,163,26.5,Blackgram ,Turmeric,160
Ariyalur,2023,January,Rabi,2.2,27.4,Paddy,Banana,50
Ariyalur,2023,February,Rabi,1.2,24.3,Maize,Banana,50
Ariyalur,2023,March,Rabi,3.1,29.6,Turmeric ,Sugarcane,35
Ariyalur,2023,April,Kharif,1.2,28.7,Chili,Sugarcane,35
Ariyalur,2023,May,Kharif,1,27.7,Eggplant ,Sugarcane,40
Ariyalur,2023,June,Kharif,6.5,23.21,Blackgram ,Tomato,120
Ariyalur,2023,July,Kharif,2.3,21.7,Banana,Tomato,100
Ariyalur,2023,August,Kharif,2.5,23.5,Ground nut,Cashewnut,300
Ariyalur,2023,September,Kharif,0,27.4,Sugarcane,Cashewnut,340
Ariyalur,2023,October,Kharif,4.5,29.1,Cashewnut,Turmeric,150
Ariyalur,2023,November,Rabi,2.6,28.4,Tomato ,Chilli,80
Ariyalur,2023,December,Rabi,12.5,29.1,Onion,Eggplant,40
Chengalpattu,2007,January,Rabi,0,24.2,Paddy,Paddy,85
Chengalpattu,2007,February,Rabi,23.4,25.3,Groundnut,Paddy,80
Chengalpattu,2007,March,Rabi,13.5,27.3,Sugarcane,Sugarcane,35
Chengalpattu,2007,April,Kharif,4.5,29.6,Coconut ,Sugarcane,40
Chengalpattu,2007,May,Kharif,3.4,31.2,Banana,Sugarcane,40
Chengalpattu,2007,June,Kharif,4.5,30.7,Blackgram ,Black gram,100
Chengalpattu,2007,July,Kharif,56.7,30,Green gram,Black gram,100
Chengalpattu,2007,August,Kharif,87.4,29.2,Karamani,Black gram,90
Chengalpattu,2007,September,Kharif,31.64,28.7,Eggplant ,Green gram,90
Chengalpattu,2007,October,Kharif,21.45,27.2,Okra,Green gram,100
Chengalpattu,2007,November,Rabi,45.9,25.6,Papaya,Karamani,90
Chengalpattu,2007,December,Rabi,98.6,24.5,Greens,Karamani,100
Chengalpattu,2008,January,Rabi,8.9,23.2,Paddy,Banana,50
Chengalpattu,2008,February,Rabi,1.7,24.3,Groundnut,Sugarcane,35
Chengalpattu,2008,March,Rabi,7.8,25.4,Sugarcane,Sugarcane,35
Chengalpattu,2008,April,Kharif,2.3,26.5,Coconut ,Paddy,80
Chengalpattu,2008,May,Kharif,3,29.7,Banana,Sugarcane,40
Chengalpattu,2008,June,Kharif,45.7,29.9,Blackgram ,Karamani,100
Chengalpattu,2008,July,Kharif,87.65,29,Green gram,Karamani,100
Chengalpattu,2008,August,Kharif,45.7,26.4,Karamani,Sugarcane,40
Chengalpattu,2008,September,Kharif,8.76,27.5,Eggplant ,Coconut,40
Chengalpattu,2008,October,Kharif,4.9,26.4,Okra,Coconut,50
Chengalpattu,2008,November,Rabi,34.1,24.9,Papaya,Coconut,40
Chengalpattu,2008,December,Rabi,3.2,23.7,Greens,Coconut,45
Chengalpattu,2009,January,Rabi,4.9,22.7,Paddy,Paddy,80
Chengalpattu,2009,February,Rabi,3.1,28.6,Groundnut,Groundnut,130
Chengalpattu,2009,March,Rabi,3.5,27.1,Sugarcane,Groundnut,130
Chengalpattu,2009,April,Kharif,2.2,28.3,Coconut ,Sugarcane,35
Chengalpattu,2009,May,Kharif,1.6,29.8,Banana,Sugarcane,35
Chengalpattu,2009,June,Kharif,45.89,29.9,Blackgram ,Groundnut,150
Chengalpattu,2009,July,Kharif,98.6,30.1,Green gram,Groundnut,150
Chengalpattu,2009,August,Kharif,54.3,28.9,Karamani,Groundnut,140
Chengalpattu,2009,September,Kharif,341.2,27.6,Eggplant ,Karamani,80
Chengalpattu,2009,October,Kharif,23.76,26.8,Okra,Karamani,90
Chengalpattu,2009,November,Rabi,67.5,24.7,Papaya,Groundnut,120
Chengalpattu,2009,December,Rabi,45.2,29.8,Greens,Groundnut,130
Chengalpattu,2010,January,Rabi,23.5,23.6,Paddy,Paddy,80
Chengalpattu,2010,February,Rabi,6.5,24.8,Groundnut,Paddy,75
Chengalpattu,2010,March,Rabi,3.4,26.5,Sugarcane,Eggplant,30
Chengalpattu,2010,April,Kharif,6.4,28.6,Coconut ,Eggplant,30
Chengalpattu,2010,May,Kharif,3.2,29.8,Banana,Tomato,60
Chengalpattu,2010,June,Kharif,2.3,27.6,Blackgram ,Tomato,65
Chengalpattu,2010,July,Kharif,56.98,29.8,Green gram,Okra,45
Chengalpattu,2010,August,Kharif,89.6,29.1,Karamani,Okra,50
Chengalpattu,2010,September,Kharif,76.8,28.5,Eggplant ,Green gram,80
Chengalpattu,2010,October,Kharif,65.8,26.5,Okra,Green gram,90
Chengalpattu,2010,November,Rabi,34.5,24.8,Papaya,Karamani,80
Chengalpattu,2010,December,Rabi,23.9,26.5,Greens,Karamani,80
Chengalpattu,2011,January,Rabi,23.1,23.5,Paddy,Black gram,100
Chengalpattu,2011,February,Rabi,5,25.3,Groundnut,Black gram,100
Chengalpattu,2011,March,Rabi,1.3,26.8,Sugarcane,Karamani,90
Chengalpattu,2011,April,Kharif,3,28.6,Coconut ,Karamani,100
Chengalpattu,2011,May,Kharif,1,29.7,Banana,Green gram,90
Chengalpattu,2011,June,Kharif,76.89,28.9,Blackgram ,Green gram,90
Chengalpattu,2011,July,Kharif,76.45,29.8,Green gram,Black gram,90
Chengalpattu,2011,August,Kharif,8.96,29.1,Karamani,Black gram,90
Chengalpattu,2011,September,Kharif,55.4,27.6,Eggplant ,Black gram,80
Chengalpattu,2011,October,Kharif,99.3,25.8,Okra,Black gram,100
Chengalpattu,2011,November,Rabi,66.3,24.8,Papaya,Karamani,100
Chengalpattu,2011,December,Rabi,56.1,23.5,Greens,Karamani,90
Chengalpattu,2012,January,Rabi,15.6,23.7,Paddy,Banana,55
Chengalpattu,2012,February,Rabi,7.4,24.8,Groundnut,Banana,60
Chengalpattu,2012,March,Rabi,5,26.9,Sugarcane,Sugarcane,40
Chengalpattu,2012,April,Kharif,4.7,29.4,Coconut ,Sugarcane,45
Chengalpattu,2012,May,Kharif,3.5,29.9,Banana,Sugarcane,40
Chengalpattu,2012,June,Kharif,98.5,29.4,Blackgram ,Tomato,70
Chengalpattu,2012,July,Kharif,56.7,30.5,Green gram,Tomato,70
Chengalpattu,2012,August,Kharif,76.8,28.3,Karamani,Coconut,35
Chengalpattu,2012,September,Kharif,89.6,27.6,Eggplant ,Coconut,35
Chengalpattu,2012,October,Kharif,67.45,26.5,Okra,Coconut,40
Chengalpattu,2012,November,Rabi,34.8,24.3,Papaya,Coconut,40
Chengalpattu,2012,December,Rabi,32.1,22.7,Greens,Coconut,40
Chengalpattu,2013,January,Rabi,11.4,24.3,Paddy,Paddy,80
Chengalpattu,2013,February,Rabi,11.2,24.7,Groundnut,Black gram,90
Chengalpattu,2013,March,Rabi,2.8,26.5,Sugarcane,Black gram,80
Chengalpattu,2013,April,Kharif,1.8,27.6,Coconut ,Sugarcane,40
Chengalpattu,2013,May,Kharif,1.5,29.4,Banana,Sugarcane,35
Chengalpattu,2013,June,Kharif,76.8,29.7,Blackgram ,Tomato,60
Chengalpattu,2013,July,Kharif,134.7,29.5,Green gram,Tomato,65
Chengalpattu,2013,August,Kharif,87.65,29.1,Karamani,Green gram,90
Chengalpattu,2013,September,Kharif,97.1,27.6,Eggplant ,Green gram,90
Chengalpattu,2013,October,Kharif,124.8,27.7,Okra,Eggplant,40
Chengalpattu,2013,November,Rabi,352,25.4,Papaya,Eggplant,40
Chengalpattu,2013,December,Rabi,45.7,23.5,Greens,Eggplant,35
Chengalpattu,2014,January,Rabi,32.1,22.9,Paddy,Paddy,75
Chengalpattu,2014,February,Rabi,4.5,24.5,Groundnut,Okra,50
Chengalpattu,2014,March,Rabi,2.5,27.6,Sugarcane,Okra,55
Chengalpattu,2014,April,Kharif,4.3,28.9,Coconut ,Sugarcane,40
Chengalpattu,2014,May,Kharif,3.12,29.8,Banana,Sugarcane,40
Chengalpattu,2014,June,Kharif,243.8,29.9,Blackgram ,Tomato,60
Chengalpattu,2014,July,Kharif,87.6,30.2,Green gram,Tomato,70
Chengalpattu,2014,August,Kharif,93.11,28.7,Karamani,Karamani,100
Chengalpattu,2014,September,Kharif,114.6,26.5,Eggplant ,Karamani,90
Chengalpattu,2014,October,Kharif,234.6,24.9,Okra,Green gram,80
Chengalpattu,2014,November,Rabi,231.5,24.5,Papaya,Green gram,85
Chengalpattu,2014,December,Rabi,45.65,23.7,Greens,Green gram,85
Chengalpattu,2015,January,Rabi,13.3,23.8,Paddy,Banana,45
Chengalpattu,2015,February,Rabi,12.1,24.9,Groundnut,Groundnut,130
Chengalpattu,2015,March,Rabi,10,26.9,Sugarcane,Groundnut,150
Chengalpattu,2015,April,Kharif,2.5,27.6,Coconut ,Sugarcane,35
Chengalpattu,2015,May,Kharif,4,28.7,Banana,Sugarcane,35
Chengalpattu,2015,June,Kharif,342,29.7,Blackgram ,Green gram,85
Chengalpattu,2015,July,Kharif,234.9,29.8,Green gram,Green gram,85
Chengalpattu,2015,August,Kharif,45.98,29.6,Karamani,Coconut,45
Chengalpattu,2015,September,Kharif,43.8,27.6,Eggplant ,Coconut,35
Chengalpattu,2015,October,Kharif,21.4,28.4,Okra,Coconut,35
Chengalpattu,2015,November,Rabi,3.45,27.6,Papaya,Coconut,35
Chengalpattu,2015,December,Rabi,45.3,23.5,Greens,Coconut,45
Chengalpattu,2016,January,Rabi,34,22.5,Paddy,Paddy,80
Chengalpattu,2016,February,Rabi,23,23.4,Groundnut,Paddy,80
Chengalpattu,2016,March,Rabi,2.5,28.7,Sugarcane,Paddy,85
Chengalpattu,2016,April,Kharif,2.1,28.4,Coconut ,Sugarcane,30
Chengalpattu,2016,May,Kharif,1,29.6,Banana,Sugarcane,35
Chengalpattu,2016,June,Kharif,321,29.8,Blackgram ,Okra,55
Chengalpattu,2016,July,Kharif,34.5,29.6,Green gram,Okra,50
Chengalpattu,2016,August,Kharif,55.7,29.5,Karamani,Groundnut,120
Chengalpattu,2016,September,Kharif,65.8,27.6,Eggplant ,Groundnut,140
Chengalpattu,2016,October,Kharif,99.87,26.5,Okra,Groundnut,150
Chengalpattu,2016,November,Rabi,78.6,24.8,Papaya,Coconut,35
Chengalpattu,2016,December,Rabi,45.9,23.9,Greens,Coconut,35
Chengalpattu,2017,January,Rabi,21.4,23.8,Paddy,Black gram,80
Chengalpattu,2017,February,Rabi,13.4,26.5,Groundnut,Black gram,90
Chengalpattu,2017,March,Rabi,19.1,28.7,Sugarcane,Sugarcane,40
Chengalpattu,2017,April,Kharif,6.3,28.8,Coconut ,Coconut,40
Chengalpattu,2017,May,Kharif,3,29.8,Banana,Coconut,40
Chengalpattu,2017,June,Kharif,76.8,29.4,Blackgram ,Eggplant,40
Chengalpattu,2017,July,Kharif,98.45,29.8,Green gram,Eggplant,45
Chengalpattu,2017,August,Kharif,34.1,28.7,Karamani,Greens,50
Chengalpattu,2017,September,Kharif,98.65,27.5,Eggplant ,Greens,60
Chengalpattu,2017,October,Kharif,45.89,26.5,Okra,Groundnut,120
Chengalpattu,2017,November,Rabi,73.2,24.3,Papaya,Coconut,35
Chengalpattu,2017,December,Rabi,23.1,27.6,Greens,Groundnut,140
Chengalpattu,2018,January,Rabi,21,23.8,Paddy,Paddy,80
Chengalpattu,2018,February,Rabi,13,22.8,Groundnut,Paddy,85
Chengalpattu,2018,March,Rabi,2.4,26.5,Sugarcane,Banana,45
Chengalpattu,2018,April,Kharif,0,25.4,Coconut ,Sugarcane,30
Chengalpattu,2018,May,Kharif,1,27.6,Banana,Sugarcane,35
Chengalpattu,2018,June,Kharif,43.78,29.8,Blackgram ,Tomato,80
Chengalpattu,2018,July,Kharif,87.6,29.7,Green gram,Tomato,85
Chengalpattu,2018,August,Kharif,87.9,29.5,Karamani,Karamani,90
Chengalpattu,2018,September,Kharif,123.7,27.6,Eggplant ,Karamani,95
Chengalpattu,2018,October,Kharif,34.89,26.9,Okra,Karamani,100
Chengalpattu,2018,November,Rabi,98.6,24.6,Papaya,Greens,55
Chengalpattu,2018,December,Rabi,78.9,28.7,Greens,Greens,60
Chengalpattu,2019,January,Rabi,32,22.3,Paddy,Black gram,85
Chengalpattu,2019,February,Rabi,14,24.6,Groundnut,Black gram,90
Chengalpattu,2019,March,Rabi,3.5,26.8,Sugarcane,Green gram,90
Chengalpattu,2019,April,Kharif,2,28.7,Coconut ,Green gram,100
Chengalpattu,2019,May,Kharif,0,29.8,Banana,Green gram,90
Chengalpattu,2019,June,Kharif,87.9,29.8,Blackgram ,Karamani,70
Chengalpattu,2019,July,Kharif,99.65,29.9,Green gram,Karamani,75
Chengalpattu,2019,August,Kharif,74,28.7,Karamani,Karamani,90
Chengalpattu,2019,September,Kharif,56.1,27.6,Eggplant ,Black gram,80
Chengalpattu,2019,October,Kharif,56.98,26.5,Okra,Black gram,85
Chengalpattu,2019,November,Rabi,68.9,24.9,Papaya,Black gram,90
Chengalpattu,2019,December,Rabi,164.9,23.6,Greens,Black gram,90
Chengalpattu,2020,January,Rabi,53.8,27.6,Paddy,Paddy,90
Chengalpattu,2020,February,Rabi,0.6,23.5,Groundnut,Banana,65
Chengalpattu,2020,March,Rabi,0,27.6,Sugarcane,Sugarcane,40
Chengalpattu,2020,April,Kharif,13.3,28.7,Coconut ,Sugarcane,40
Chengalpattu,2020,May,Kharif,2.1,25.6,Banana,Sugarcane,35
Chengalpattu,2020,June,Kharif,39.7,29.8,Blackgram ,Tomato,80
